,Text,Sentiment
491,@pocket_rocket96 I think many of us are anxious. Things like not getting enough food because of selfish panic buyers is a worry for me &amp; many of us. I already have meds for anxiety &amp; schizo affective disorder. I miss my boyfriend like crazy too as,Extremely Negative
492,How can companies minimise Covid-19Âs effect on their marketing traffic? BrandÂs need to be agile in these times of crisis as events like these are changing consumer behaviour https://t.co/wl9xeouZvS,Negative
493,"@BestBuy how are you guys still open? Basically the largest tech store in the US, let alone the world probably. You guys may be helping spread COVID-19? An employee could have an asymptomatic case, every customer they talk to, could get the virus.YÂall n",Positive
494,Student resources during COVID-19 https://t.co/edjUfnzT8Y,Neutral
495,Pattaya: Makro full of shoppers as Thais and foreigners stock up on food items https://t.co/6CXvzZw14J #thailand #coronavirus #covid19 https://t.co/ZIvgHESZ8k,Neutral
496,"Clubs shut down
Bars shut down
Restaurants shut down
Gym shut down 
Grocery stores are nightmare fuel
Seriously if u work at a grocery store or retail in general u have my sympathy 
#coronavirus",Positive
497,"Send several emails on how Covid-19 is effecting you, your family, express fear of job loss, no money to buy food, pay your rent/mortgage ect...and demand that policy even if temporary be mandated asap. Call and leave messages!!",Extremely Negative
498,"No canned goods at my local grocery store 
#CoronavirusOutbreak #coronavirus #CoronaVirusUpdates #panicbuying #COVID2019 #COVID19 #COVID?19 #Repost #QuarantineLife #QuarantineAndChill #SocialDistance #StayTheFHome #Corona #wtf https://t.co/yQrUtMwgw9",Negative
499,"Y'all: I walked two and a half miles to the supermarket last night, and it was quieter than usual. An eerie suspense permeated: the dessert aisle was deserted, and there were almost no staples, such as eggs, bread, pasta, etc. #Covid_19 https://t.co/prD62ju5Sk",Negative
500,WeÂre still part of a community even when weÂre by ourselves. Stay home and stay positive. We're #AloneTogether https://t.co/eBRBPBqIJw,Positive
501,Consumers Energy is suspending service shutoffs for senior citizens and low income customers because of the COVID-19 outbreak. https://t.co/I07b93XPmR,Neutral
502,"""Amazon is hiring an additional 100,000 employees in the U.S. to meet the surge in demand from online shopping amid the #coronavirus outbreak, the company said Monday."" #jobs https://t.co/brddGC1C9E",Positive
503,"One of the most damaged sectors by the #coronavirus in the #USA is the #SP500 #Consumer Discretionary Sector. Firmly in sell on our system. See chart. Key: above the cloud ""In Buy"" below ""In Sell"" $XLY #stocks #luxury #trading #investing #COVID19 #COVID2019 #covidusa https://t.co/sAudd9g1jw",Negative
504,Coronavirus Watch - Online shopping and delivery are expected to surge as cases of coronavirus increase in the U.S. -  https://t.co/rjaPZ4fTxJ #coronavirus #CoronavirusOutbreak #foodinstitutefocus #foodinstitute #food #foodindustry #delivery #fooddelivery https://t.co/fyaoXdLqKt,Positive
505,"To all the panic buyers that over stock up on milk ?meat ?or veg ? If you waste any of that food
(i.e. past expiration date), shame on you!
#coronavirusuk #coronavirus #COVID?19 #coronapocolypse",Extremely Negative
506,NEW: Coronavirus package hits roadblocks amid GOP opposition https://t.co/bCZaS0UTs5 https://t.co/jPa92hvSmI,Neutral
507,"Update on #coronavirus in Seattle:  local @HomeDepot employee said there is talk of limiting the number of people who enter retail stores at the same time.

That means your grocery store would be affected too. https://t.co/NWETBBLm3s",Negative
508,"If you're a healthy person not showing any symptoms of Covid-19, and you're complaining about not having a test available to you, you're just as bad as a panic buyer hoarding food and supplies.

Having a test available for 327 million people this soon isn't possible anywhere.",Extremely Negative
509,"People are shopping online instead of visiting brick and mortar stores these days. Is your store ready to weather the storm? We're an easy e-commerce solution, tailor-made for specialty running stores https://t.co/zQgw9ZsqzX ???????? #ecommerce #shoplocal #coronavirus https://t.co/zhDlAE25CB",Extremely Positive
510,"We have enough food, assures PM
https://t.co/hSHap8C7tP  https://t.co/hSHap8C7tP",Positive
511,"""We're appealing to ALL Americans to take these steps, to protect each other, and to ensure that the virus doesn't spread."" https://t.co/oceDVp3XxR",Extremely Positive
512,"Cats on state TV, consumer rights defended, and China cautiously adjusts to the changing Covid-19 situation at home and abroad https://t.co/U36ckinyRq",Neutral
513,"COVID-19 ?already existing virus- recently enhanced to effect our elderly to scare the world into going to their nearest supermarket to buy products so the governments are able to receive more money... The world is fucked globally, economically and etc. Sure you got it by now????",Extremely Negative
514,"To profit from consumer health concerns, online scammers may set up fake websites, send emails or texts, or post on social media to sell fake products that claim to cure or prevent COVID-19. https://t.co/Yk7nIq9oHp",Negative
515,"Hang in there everyone. We'll all get through this if we support each other.
Please don't strip the supermarket shelves empty.  Think of an elderly neighbour or relatives who might have run out of an essential. 

#coronavirus #RandomActsOfKindness #NI https://t.co/NVEJqNGGiR",Positive
516,"Take some time to appreciate the unsung heroes of the #coronavirus crisis:

Grocery Store Cashiers.",Positive
517,Prelim March data from Univ of Michigan shows the Consumer Sentiment Index falling 5.0%. Additional decline is likely as COVID-19 accelerates. #ThinkWhyItMatters,Negative
518,Regina Food Bank anticipating more demand and use but less supply and donations because of COVID-19 | CBC News https://t.co/HCoHnl5Iek,Negative
519,"Uh what happens when a grocery store or delivery driver tests positive for #COVID19? 
When and where does it end?
#coronavirus #CoronavirusOutbreak #coronapocolypse",Positive
520,"Shame on all of you who are #hoarding, this really hurts other people. Ashley Preece is in a wheelchair and her groceries are delivered to her. When her order arrived it didnÂt have toilet paper or even food for her cat. #stophoarding #coronavirus #covid19
https://t.co/UsOEDcZcvw",Extremely Negative
521,"Absolutely starting to panic when me and my partner only have Â£11 to last us until the 23 of this month, but we canÂt get any cheap food as the shelves are empty. Life is a struggle. #covid?19uk #coronavirus",Extremely Negative
522,M-C: Political Tribalism Impacts Consumer Sentiment On COVID-19 https://t.co/7nJqhag0fz https://t.co/xtYITOcNFQ,Neutral
523,#helpers not #nurses or #Doctor but I am a grocery &amp; delivery shopper me/co-workers have been been verbally assaulted a lot of the last week over store outages if you are going to continue to do this at least tip for the services you're getting #COVID?19 #coronavirus,Extremely Negative
524,"Here's a change of pace from toilet paper madness and/or exploitation #coronavirus #hoarding
https://t.co/C3i6JIdQOM",Negative
525,"Berlin's supermarket is like: 
( Do people eat the toilet paper? )
#COVID?19 #CoronavirusOutbreak #COVID2019 #Corona https://t.co/Ro0esW2VMY",Positive
526,@vicderbyshire @VictoriaLIVE @BBCTwo @BBCNews IÂm disabled and canÂt drive and because of everyone panicking I canÂt book an online shop anywhere. How are people like me who rely on online food deliveries going to survive when we can no longer get our ,Negative
527,"Dropped by Trader JoeÂs to pick up some salads since IÂm working from home this week...all of my fave salads were in stock, but when I went down the frozen food section, the entire aisle was completely EMPTY (no exaggeration)...except for the desserts #traderjoes #coronavirus ? https://t.co/67j2KAiCHe",Extremely Negative
528,"@annelies_goger: Low-income adults typically cannot afford to stock up on food. Federal, state, &amp; local responders need to consider targeted solutions -- like @CEXAlsobrooks has implemented in Prince George's County, MD -- during the COVID-19 crisis. ",Negative
529,"Markets tank globally. I think trading should be halted, prices fixed in place, and all accounts frozen till cases drop to nothing. Phase it back In slowly. #COVID19 #Covid_19",Negative
530,"#Diesel costs 33.7 cents a gallon less than it did a year ago. Prices fell in all regions of the country. The #Midwest saw the biggest decrease at 9.8 cents to $2.591. By @ConnorInTheNews. @EIAgov #dieselprice #dieselfuel #fuel #coronavirus
https://t.co/OC5b1kcPXD",Neutral
531,"TRASTRA card is the best way to make safe online transactions!

More shopping -  less human contact during #Coronavirus season! https://t.co/Q35irlh0dg",Extremely Positive
532,"Look where somebody #Parked at #Safeway here at #Oakland 
#ParkingLot #lol #coronavirus #stockup #apocalypse2020 https://t.co/oorfCF2I7T",Neutral
533,"Update: For Those Of You That's Worried About Covid-19, Drink Turmeric Tea, Ginger,Lemon &amp; Honey Herbal Tea Every Day Without Sugar,You Can Get It At Sainsbury's Supermarket &amp; Asda, Be Safe Folks #ReneTrevor https://t.co/f23E1T1ibZ",Positive
534,Self-quarantine = online shopping...I hope the banks are open after all this settles down because I may need a small personal loan...TO MYSELF #SOS #Covid_19 ?,Positive
535,"Hey, @AldiUSA - the employees in Aldi and Trader Joe's stores deserve paid sick time. Supermarket workers face exposure to COVID-19 &amp; other illness. They need to need be able to stay home if they're sick!",Extremely Negative
536,"The sad part is... Should all the supply of food be exhausted cause panic stockup, it won't be Covid 19 that's killing people ""fight for survival will"" &amp; that's my panic #Makro  #Coronavirussouthafrica https://t.co/g7K8rtDoU5",Extremely Negative
537,"Due to the recent Covid-19 concerns &amp; our commitment to the safety of our customers and employees, we are adjusting store scheduled hours based on current work loads at our retail locations.  We are available for parts 24/7 via our online parts portal at https://t.co/rpSUBU3cKN https://t.co/HcWzKK43G3",Extremely Positive
538,"#Covid_19 #COVID19au Pumping #money into #economy, lowering interest rates is not going to solve #economic problem. People are losing their #jobs and are not #earning.. They are drawing funds from the banks to buy food. Government actions have stopped demand for non-essentials",Extremely Negative
539,With consumer concern over their finances due to #COVID-19 here's the best way for advisers to provide reassurance &gt;&gt; https://t.co/GXKVvtsgmu https://t.co/6t9QxcJi8J,Extremely Positive
540,"Was in a supermarket &amp; true enough the shelves were empty of a specific product.  Let me make this clear...if you bought a trolley load of toilet paper in case you get a flu bug, you ARE a fuckin virus.  But unlike COVID-19, there'll never be a cure for your type ?",Positive
541,"FTC posts coronavirus information -- 
https://t.co/l6j9ysAKSk

FDA Posts Coronavirus Disease 2019 (COVID-19) infromation -- https://t.co/yqMgoP7x5E

Stay Safe",Positive
542,SmithÂs Food &amp;amp; Drug Stores today announced that it is hiring workers immediately to deal with increased demand in response to COVID-19. #covid19 #valenciacounty #smiths #hiring https://t.co/XxNOtumWjU,Positive
543,"Look at the prices well over MRP openly on @amazonIN ?

#COVID2019 

@suchetadalal @Moneylifers @MoneylifeIndia https://t.co/ksmt8uVegp",Positive
544,"""The e-commerce giant said in a blog post Saturday that there has been a surge in online shopping as the #coronavirus outbreak spreads Â and it's weighing on the company. The number of cases in the United States surpassed 3,000 on Sunday."" https://t.co/uVO77Wte9v #COVID19 #Amazon",Positive
545,"Learn from Mintel experts, a trusted source, how US #consumers and industries including #food and #drink, #beauty, #retail, and #health and wellness reacting to the #COVID19 pandemic:  #marketresearch #consumerinsights # #consumerbehavior #trustedsource https://t.co/m9yakZmxTF",Extremely Positive
546,"Urban Outfitters, Nike, and 14 other major retailers are temporarily closing stores in an unprecedented move to prevent the spread of the coronavirus https://t.co/eziUCPN74i #coronavirus #retail https://t.co/Qr62tRA7oH",Neutral
547,"Can any entity calculated the business and consumer loss of Indian economy which will happen in this financial year end due to this overhyped virus... 

It's a BOMB. Finally a Global war by an invisible virus. #COVID2019 #IndiaVsCorona",Extremely Negative
548,"On behalf of all my peers in the supermarket industry, weÂre here providing around-the-clock labor in order to serve the public. Please breathe, as weÂre refilling as fast as is possible with supply-chain demands.#grocerystores #WholeFoods #Covid_19",Positive
549,Happening across the country right now..... #coronapocolypse #coronavirus #supermarketsweep #StopPanicBuying https://t.co/yeu6BY79Gh,Neutral
550,"Sellers are gouging prices on #Souq amid #coronavirus panic. Read more here: https://t.co/Dz0c3Od0ut
#COVID_19 #amazon @AmazonAE @SouqEgypt @SouqKSA @amazon",Negative
551,"Food bank expects heightened demand, change in distribution methods due to COVID-19 Read @JeffKeeling12 's story here: https://t.co/hCWOs9XdEB",Negative
552,"Uncertainty doesnÂt begin to describe the economic conditions brought on by the efforts to slow the spread of COVID-19. The American consumer essentially has been told to stay home for a while. Economic activity wonÂt stop, but there is no doubt it has slowed down.",Extremely Negative
553,The Humane Society of Eastern Carolina (HSEC) is taking steps to help prevent the spread of COVID-19 while still working toward its mission of finding forever homes for the animals in their care. https://t.co/endPKqhXzi,Extremely Positive
554,"Seniors and pension card holders have tried to make the most of a dedicated shopping hour set up by a major supermarket chain for vulnerable people in the midst of the COVID-19 outbreak.
https://t.co/uJqQ7EjQ0g",Positive
555,"Chick-fil-A is temporarily closing the dining room seating in ALL restaurants due to COVID-19 concerns. The company said they hope these changes will limit person-to-person contact.  

https://t.co/avTvRF16Di",Positive
556,"COMING SOON: WV AG press conference regarding consumer issues related to the COVID-19 outbreak.

WATCH: https://t.co/9MAoUXcHqw",Neutral
557,"Clean-up on Aisle 3:16.

#316Day https://t.co/MJErk9WCGi",Positive
558,I'm beginning to regret not purchasing junk or comfort food when I was at the grocery store Friday morning. #CoronaVirus,Negative
559,Waiting for my food shopping to arrive ... how many items do you think will be out of stock?? #Coronavirus,Neutral
560,Anticipated TT$5 billion revenue loss on account of depressed energy prices and impact of slowed business as a result of #Covid_19 in #Trinidad and #Tobago - Finance Minister,Negative
561,News AG alert following regulator fines 1 2B read more   19,Positive
562,AG alert following coronavirus read more   19,Positive
563,Walter White or just a cautious dude outside my grocery store in Montreal? #coronavirus https://t.co/L1ktSWzJjX,Negative
564,"Anyone worried about food supply during self isolation should seriously consider @gethuel. All the nutrients you need to survive, full of protein to help heal you, easy to stock up on and store, and delivered to your door to minimise the spread of Covid-19.",Neutral
565,Panic buying at Waitrose https://t.co/02DDKwsNxO via @YouTube,Negative
566,"#COVID19 19 A friend of mine in the US works at a Muji store, and Muji decided to not pay their employees who decided to take a leave during the coronavirus.
Her colleagues launched a petition, if you could help them and sign that would be amazing ?
https://t.co/C25F6BWqtx",Extremely Positive
567,"If there's an elderly person/couple that cant make it to the grocery store or simply doesn't want to go, I'd be happy to go for you.

If you know someone in need in or around Lewisville/Frisco please DM me and well try to figure this out.

#coronavirus",Extremely Positive
568,The global situation with #coronavirus is a bold proof of how crucial #ecommerce has become for our society and how big its potential for every retailer there still is. https://t.co/7rQfNWQqe7,Positive
569,"Stay safe at home, avoid the #CoronaVirus and experience hassle-free online grocery shopping instead! 
We deliver FREE in Colombo and Suburb. 

ORDER YOUR GROCERIES HERE ? https://t.co/rWhyIQSf2i 

Contact us on 0712128888 https://t.co/BmmVGtue8Z",Extremely Positive
570,"""We also ask people to express their solidarity by refraining from hoarding essential items, including medicines.

Hoarding can create shortages of medicines and other essential products, which can exacerbate suffering""-@DrTedros #COVID19 #coronavirus",Negative
571,"""Like me, IÂm sure you have been touched by the videos of people applauding #healthworkers from their balconies, or the stories of people offering to do grocery shopping for older people in their community""-@DrTedros #COVID19 #coronavirus https://t.co/KGpkz6i4VN",Extremely Positive
572,The Piano Technicians Guild (PTG) has compiled an advisory explaining how to disinfect your piano. This has been prompted by continuing concern over the Corona Virus (COVID-19). The document is published on the World Piano News website. https://t.co/FSUUHEi4Zd https://t.co/tNWkP08bOY,Neutral
573,Malaysia Lock down | Covid-19 | Supermarket Finish Stock | Panic Buy https://t.co/cCxJ7o8Kyx via @YouTube,Negative
574,"Only in the Philippines will you see people hoarding supplies, repacking them in smaller bags/containers, then selling with overly high prices...

Dear Fellow Filipinos who do this, YOU ARE A SHAME TO THE REST OF US, AND A WASTE OF SPACE IN THIS EARTH..????????????????
#COVID2019",Extremely Negative
575,"COVID-19 Update: Please note that our website, shopping cart and online training remain available during this time. #staysafe https://t.co/5om8Y8rMm5",Positive
576,"Financial markets meets COVID-19 explained by @petersgoodman // @mikiebarb 

Pretend the global economy is a shopping mall (marketplace). 

SUPPLY is the stuff in the shops.

DEMAND is the consumer buying the stuff.

Thread ?",Negative
577,"ItÂs crazy to work at a place like Trader JoeÂs or Costco or any grocery store right now. Everyone is being told to isolate and self quarantine, and because I have bills, I have to be in contact with 100s of people a day. Working class people pay the price every time.#coronavirus",Negative
578,"Since January, YouGov has been gathering data on how different facets of America are being affected by COVID-19 Â from how itÂs shifting consumer behavior, to how voters are participating in democracy, to how brands are impacted. 

Explore our findings: https://t.co/8W8CqC2U83 https://t.co/SATXAOJR8o",Negative
579,"Limit your trips to the grocery store once every two weeks. #PhysicalDistancing

#HighRiskCovid19 #Coronavirus #Covid_19 #CoronavirusPandemic #StayTheFHome",Neutral
580,"#BREAKING: All @LLBean stores to close, including the companyÂs flagship store in Freeport, starting at midnight through 3/29. It is only the 5th time in the companyÂs history the store will closeÂthe first time for more than 24 hours. #NEWSCENTERmaine https://t.co/NVRY9cwWHc",Positive
581,"A draft of the #COVID?19 Response Emergency Amendment Act from @ChmnMendelson to address ""wage replacement, business relief, &amp; additional authorities &amp; exemptions regarding health, public safety, &amp; consumer protection"": https://t.co/alNKHtmZaO https://t.co/g9J3JFPYPN",Positive
582,"@CryptoGodfatha IMO weÂre not close to the bottom. Contrary to popular option, #BitcoinÂ  is not gold. Investors worldwide are going risk-off. #Crypto prices will continue to fall as a result. Wait for your opportunity. 

#Covid_19 #pandemic #cryptoc",Positive
583,"#????_???_?????? ???? ???????..? ?? ?????? ?? ????? ???????...
?????? ???? ????? ???????? ??????? ????? ????????...
?????? ???? ????? ??????...
??? ??? ?????? ??????? ???? ?????
???? ????? ?????? ???????? ???????? ???? ?????? ?? ????? ???????? ????? ??? ????? ????? https://t.co/tOX2GoBkdg",Neutral
584,"No meat, chicken or pork left at the grocery store? You can still get it delivered to your house from 
@PerdueFarms Get 15% off &amp; a free box of diced chicken breasts when you use this link https://t.co/RTPF4pgAhh #affiliate Spend $119 for free shipping #Coronavirus #COVID19 https://t.co/GhFXnzV1Ih",Extremely Positive
585,Local news on how COVID-19 may impact the real estate market  https://t.co/llOuiVvbyE via @komonews #realestate #homebuying https://t.co/iB28DJaOQL,Neutral
586,"Ingenious product placement at my local grocery store! 

Handwash, sanitizer, condoms and facemasks- DIY quarantine kit. 

Welcoming all the scorpions going to born out of this pandemic.
#coronavirus #COVID2019 #WomenInSTEM #medtwitter https://t.co/eqged2EcAO",Positive
587,"Wish people would remember to be kind to supermarket workers amidst the COVID-19 chaos, we have restrictions in place but we canÂt control people. We are also putting our health at risk staying at work and serving people, not everyone has the luxury of being able to self-isolate.",Negative
588,How about thanking a grocery store worker for enduring the chaos and trauma of these uncivilized days! #coronavirus #Covid_19 #groceryshopping #grocerystore #grocer #thankyou #thankful #thankunext,Extremely Negative
589,"guess what my jobs solution is to help prevent this covid-19??

open the store one hour later.

oh and make sure all students update their availability since we have an extended spring break.

love working retail!!",Extremely Positive
590,covid 19 got me online shopping 24/7,Neutral
591,"@ArvindKejriwal Sir pls close all retail store like,Croma store, Vijaysale ,more store because here working very risky pls sir #closetheretailstore  #coronavirus https://t.co/8jK16DdR8s",Positive
592,i'm so affraid of covid-19 that i'll spend my whole evening in a crowded supermarket https://t.co/ObxzWKZ9uS,Neutral
593,"One way to #HowToKeepPeopleHome is to help make it easier for them to get deliveries of food and other items while at home.
Currently, demand for rideshare on @uber and @AskLyft is cratering during the COVID-19 crisis. Delivery demand is *increasing*, though.",Negative
594,"Seattle to provide $800 in supermarket vouchers to thousands of families during coronavirus crisis, mayor says https://t.co/jupy1W34KK to more than 6,000 families to help them buy food, cleaning supplies and other household goods",Negative
595,"@govinslee Why not have supermarkets let most at risk citizens (elderly, etc.) grocery shop for an hour or 2 first thing in every a.m. without crowds in a clean store? #coronavirus #CoronaVirusSeattle",Negative
596,Prediciton: Not that it needs a boost but after bored quarantined buyers shop till they drop on the sofa for 15 days online shopping will crush  retail for long after the Covid-19 has passed.,Extremely Negative
597,"Panic-buying in reaction to coronavirus has meant a drop in donations for some foodbanks, while some are also struggling to buy supplies from grocery stores.
Feeding America Establishes COVID-19 Response Fund To Help Food Banks During Coronavirus Pandemic https://t.co/6UhgJMo3xb",Extremely Negative
598,"covid-19 made spain lockdown but i gotta work on the supermarket to offer basic services, my life sucks",Negative
599,@News12NJ I would hope that News12 Nj can help and get the word out to help protect grocery store clerks. We are being exposed every second to crowds of people with no restrictions or protection. Please help us to get social distancing restrictions. #nycs,Extremely Positive
600,"THANK YOU GROCERY STORE EMPLOYEES, FARMERS, TRUCKERS, HEALTHCARE WORKERS, RETAIL EMPLOYEES THAT ARE STILL WORKING, AND ALL OTHER ESSENTIAL INDIVIDUALS OFFERING YOUR LIVES TO HELP FIGHT COVID-19 ??",Positive
601,"#covid_19

When it's gone...there will not be humanity left on us!

I'm helping a friend who's unable to go to the supermarket because of his disability. I'm disgusted at the behaviour of people who have been told there is no need to #panicbuying yet theÂ https://t.co/3aVwYhLEIf https://t.co/xBsgmbFncz",Negative
602,"this is kind 
https://t.co/QoXqJDbLiC",Positive
603,those extreme couponers who stock up on toilet paper and food must be vibing so hard rn. #coronavirus,Negative
604,Slim pickins at the supermarket requires creativity in cooking. Anyone else feel like theyÂre in an episode of ÂChoppedÂ? #coronavirus  #Covid_19,Extremely Positive
605,"Demand has risen since people are filling up their fridges and storerooms.. 
#Demand increases ? prices increases.. 
May the Lord help the poor??????.    
#COVID_19",Negative
606,smart and pragmatic from @Telstra @andy_penn giving consumer &amp; small business home broadband customers unlimited data at no additional charge until 30 April 2020 details -&gt;https://t.co/P2Ov6wF3u2 https://t.co/sFa7TXQqPW,Extremely Positive
607,"Covid-19 isnÂt a joke. IÂm well aware this is an issue bigger than us. But at this moment, people still have to go places to survive. So to any worker, rather that be at a grocery store, fast food, retail, whereverÂremember most of them have to be there and put themselves at risk",Negative
608,"We are headed for an extinction-level event for consumer brands. If you arenÂt operating a digital-first model, you may not survive. Traditional in-store experiences were already on life support, and COVID-19 is a massive accelerant of those trends.",Positive
609,"@DrAmalinaBakri Saw someone shared on what kind of food you should stay away from during COVID 19 - raw meat, sugar and milk. As an engineer, I know for a fact that milk&amp;sugar available at supermarket, has to go through pasteurisation process, bacteri",Positive
610,panic buying weed instead of food during covid 19 because I know how to live,Negative
611,"What are some items to #StockUp for my #stockpile on besides water, pasta, canned goods, juice, diapers and toilet paper? Married with two kids under 5 here. #doomsdayprepper #coronavirus",Neutral
612,"Coronavirus Live Updates: France Struggling to Curb COVID-19 Spread

https://t.co/qLlMyCxLYv

Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/Q2viIcSFPD",Negative
613,"#Coronavirus

The world could soon be run by a load of pussys playing their Xboxs &amp; PlayStations who've never done a day's work, who self isolate constantly.... You will be shopping online in a Minecraft city whilst drones delivery the monkey spankers food",Neutral
614,For those in need of #toiletpaper try eBay.  You can get in bulk from us sellers for reasonable prices (just got 12 for 23 from a California seller) #coronapocolypse #COVID2019 your welcome,Positive
615,"Things to keep busy
?????Run or walk outside
????Get your taxes done
?Do some online shopping
?? Catch up with old friends
? Binge movies n tv shows
? Reschedule your event
? Work on your Will
? Learn to cook
#COVID19 #pandemic #coronapocalypse #coronavirus #CoronavirusUSA",Positive
616,"Went to the shops this evening, and the shelves are empty! I am so mad and disgusted at the selfishness of people hoarding food! ? this panic buying is pointless and out of hand! #Covid_19",Extremely Negative
617,On some real shit...why we acting like u drop dead once you get the #CoronaVirus ? This whole thing is baffling n I believe the government is behind this shit ?????? I said what I said. But I am finna stock up on food Ctfu,Extremely Negative
618,When stocking up for #SocialDistancing...If you see something labeled ÂWICÂ please chose another brand. People who rely on WIC products to feed their kids cannot. WeÂre all in this together ?? https://t.co/3OwhR650m4,Positive
619,"so many are getting fired from their job bc of covid-19, nothing is open, our supermarket never has the basic things....this situation sucks so badly. but honestly the danish government handled this really great and quickly before it got BAD bad",Extremely Negative
620,"if i don't die bc of covid-19, I'll die from the lack of food bc YALL DONE TOOK EVERYTHING IN THE SUPERMARKET JALANALANAKANAKAKAK",Extremely Negative
621,"WeÂre also old enough to stay home without a guardian. And students whoÂd prefer to risk everyone and go out shopping during this time, give them a reality check. Half of my generation find this a joke and waste of time. Make us stay indoors and complete school online! #COVID2019",Negative
622,"The City of Chicago's Department of Business Affairs &amp; Consumer Protection (BACP) is soliciting your feedback as they develop resources and measures to support small businesses that have been impacted by COVID-19 (survey)
 https://t.co/nuuhfhW5Ut",Positive
623,Either #coronavirus will kill us or we will starve to death. Online shopping in total f***ing meltdown as well...,Extremely Negative
624,I was wondering if my cash register person in food service had COVID-19.(they won't take sick leave cause they have none. They won't go see a doctor cause they don't have health insurance. It is not offered.) Trying not to panic though. #America #SickofWinning,Extremely Positive
625,IÂve socially distanced myself from the kitchen. Now the next hurdle is socially distancing myself from all this unnecessary online shopping IÂm doing. #coronavirus Â #quarantinelife,Neutral
626,"Is buying 14 days worth of food and supplies stock piling? After boris' conference a few mins ago I'd say it's the sensible thing to do, within reason. #stockpiling #COVID2019 #QuarantineLife",Positive
627,We are expecting big announcements tomorrow for #Bangkok #Coronavirus stay tuned everybody. This is time to stock food supplies that will last at least for 2 week. Lets hope things will get normal soon.,Positive
628,pls stop panic buying and hoarding food bc the rest of us will then have to constantly go out to look for food and not help the efforts to contain COVID 19,Extremely Negative
629,Covid19 panic. Pascal Montagne for @37degres and @studiohanslucas #panic #france #french #covid_19 #food #shortage #paranoia #disease #health #pandemic https://t.co/72wKsDqn4b https://t.co/GcO6UfeAMZ,Negative
630,sounds like a good idea - LA market offers special hours for seniors to shop...yes?  no?  https://t.co/xJN5rDu3o9 #coronavirus,Extremely Positive
631,"Thread; Interested to see what impacts #COVID2019 has on a number of things as a result of working at home, self isolation. Eg How will online behaviours change and stick? Online shopping, delivery services, media consumption?",Positive
632,"please stop this unnecessary panic buying. look at who youÂre affecting.

please stop this unnecessary panic buying. look at who youÂre affecting.

please stop this unnecessary panic buying. look at who youÂre affecting. https://t.co/WiTqX0A9b5",Extremely Negative
633,@asda why is stock not being limited in ur stores? Went 2 ur minworth store tonight and saw someone with like 10 packs of nappies! It was sad tbh especially after all I've seemed to see on my fb today is mothers struggling to find nappies and food #corona,Negative
634,"PSA: I work in a mall. My store hasn't closed down because well fuck capitalism. And I want you all to know how difficult it is for retail/people in the food industry who have NO CHOICE but to go to work. So please, if it is not necessary please avoid the the mall #coronavirus",Extremely Positive
635,We like most of you have been thinking of ways to do our part to reduce the transmission of COVID-19 in Canada. We are closing our Retail Store and Head Office in MontrÃ©al temporarily for 2 weeks. There is nothingÂ https://t.co/517reAfJdk,Positive
636,A little bit relieved to see UK government changing the direction of covid-19 strategy.  Hope it calms the nerves of grocery shoppers and I hope for a stocked supermarket on Wednesday.,Extremely Positive
637,Is #coronavirus making @realDonaldTrump look bad because the economy is taking a dive or is it helping him because all you #VoteBlueNoMatterWho2020 people really see what #DemocraticSocialism really looks like because the stores Shelves are BARE. #nofood #Trump2020 #MAGA #KAG,Positive
638,The amount of anxiety and stress having to work at a grocery store during this time? #grocerystore #retail #coronavirus,Negative
639,"panic buyers at the Supermarket be like..

#coronapocolypse #CoronavirusOutbreak #covid?19uk #COVID2019 #COVID19france #panicbuying https://t.co/fEGKlbJMk7",Negative
640,"I love @DRUDGE but it is starting to become another tool of unnecessary panic.

Everyone needs to STOP posting stories about lack of food and not being able to keep up with demand.

YOU are the problem.

#CoronaVirus
#WuhanCoronavius 
#WuFlu",Extremely Negative
641,"The #grocery store is out of most everything?CÂmon people get a fucking grip! This is bullshit?NO tp, paper towels or wipes for miles &amp; miles to be found. May come down to using underwear &amp; going commando? 
#Maryland #AAcounty #CoronaVirus #EmptyShelves #Trump2020 #WWG1WGA #Q https://t.co/ItpMPdZmEs",Extremely Negative
642,"I miss going shopping online and offline ?I need all of this to go back to normal,corona has created such a barrier, public transport just ainÂt it. We need this to be done already so I can enjoy myself man #COVID19 #coronapocolypse #coronavirus",Positive
643,Are we getting quarantined an shoukd I stock up on food #coronavirus #Covid19Walkout #housearrest,Neutral
644,"Amazon may hire 100,000 to keep up with surge in orders as coronavirus spreads https://t.co/QEnD4W3qpN via @phillyinquirer",Positive
645,"@kumailn My country is suffering from the disease, Covid-19. It is very serious. I don't even have money to stock up on food. I don't have money to take my family to check for this disease. The cost is high.  I need $ 30,000 (USA) money to support my fami",Negative
646,panic buying after first infection of covid-19 in the USA @nytimestech #COVID19 https://t.co/S2SH0fGGtP https://t.co/d4I5tFNHe0,Negative
647,I so love this ?? Food Town grocery store chain offers senior hours for customers over 65 | https://t.co/6CUtKBVZZv #COVID2019 #covid19houston  https://t.co/V5ddBuYiXI,Extremely Positive
648,"Pls don't yell @ retail employees. It's not their fault the store has run out of alcohol, hand sanitizer or toilet paper. They are going through this like the rest of us. In this time of fear and confusion, please don't forget to be kind. #COVID2019",Extremely Positive
